Comentario,Rating
"excelente servicio. desayuno muy rico y variado, el caldo tlalpeño delicioso, muy rica la comida, excelentes instalaciones, ni hablar de la limpieza del lugar, me encantó!!! cuenta con gimnasio y conexión al aeropuerto muy comodo",1
"Me encanta este lugar, siempre cómodo, limpio y con buen servicio, los alimentos de buen sabor y buena variedad. Para vuelos tempraneros muy cómodo y de fácil acceso a todas las terminales ya sea caminando o bien con el servicio de shuttle. Recomendado al 100",1
"Buen lugar, buena ubicación, gran servicio, siempre agradable visitar este lugar 10 de 10  Habitaciones limpias, cómodas y funcionales. Buena comida, todos empleados amables y sonrientes . Ofrecen buen servicio y nos hacen sentir cómodos.",1
"Mi pareja y yo estuvimos muy a gusto en el restaurante, la hamburguesa muy rica, buena porcion, el pan delicioso y la carne de muy buena calidad, la Manger del restaurante atenta siempre al servicio. En general muy buen hotel, habitaciones limpias y agradables. ",1
"Hola! Recomiendo 100% el hotel, el alojamiento es acojedor, el personal del hotel son muy atentos, cuando se requiere orientación nos brindan una excelente atención.  Algo que no se pueden perder es probar los postres que ofrece el restaurante del hotel. ",1
"Hotel super cómodo, cumple con todo lo necesario para una estadía placentera, el personal muy atento desde que llega uno y apoyando para resolver cualquier duda que tengamos, los alimentos buen sabor,   sin duda regresaría",1
"Estuve una noche en el hotel y quedé totalmente satisfecho, la habitación estuvo realmente muy confortable y en el desayuno una excelente atención del personal  en general y muy rico todo  realmente disfrute mi estadía ",1
Mario un excelente bar tender   Me recomendó el mezcal de margarita. No soy buen fan de mezcal pero la margarita esta excelente. Pregunten por Mario. El hotel tiene buena vibe. La localidad excelente. Comida excelente,1
"El servicio del personal es muy amable, te hace sentir en casa. La atención de los meseros es excelente y los alimentos de muy buena calidad. Un lugar confortable, muy bien ubicado e instalaciones espectaculares. ",1
"El staff de este hotel son extremadamente amables, en especial don erik, fue de mucha ayuda e hizo de nuestra estadia mas comoda y aparte nos ayudo cuando mas lo necesitabamos. los almuerzos y cenas son muy exquisitos tambien.",1
"Buenos días. Restaurante:Excelente buffet, varios guisos muy ricos y deliciosos,  atención con calidad, las instalaciones son modernas y con excelente presentación  y limpieza. Ambiente agradable y muy recomendable para desayunar. Desde luego que volveré para degustar de los deliciosos Guisos. Felicidades a todos los que hacen posible brindar tan excelente servicio. Volveremos pronto.",1
"Las habitaciones son excelentes para trabajar, es cómodo y agradable contar con tu propio escritorio y silla, muy práctico para quienes trabajamos en cualquier lugar a cualquier hora, ni hablar de los alimentos, desayuno, comida y cena, todo muy rico, además se puede desayunar muy temprano, en general fue una buena experiencia y sin dudarlo regresaría, gracias a todo el personal.",1
"Por un costo extra nos dejaron acceder a la habitación antes de la hr ya que mi bebé necesitaba dormir la siesta, está genial que tengan transporte a la redonda así puedes salir del hotel y conocer lugares cercanos, está entre las terminales a y b así que es muy fácil llegar a cualquier a de estas 2 terminales y nosotros que íbamos a terminal c el hotel nos ofrece el transporte para trasladarnos, el chofer Ignacio del abúrrale nos trató excelente, felicidades",1
"Me encanta este hotel, siempre lo uso en mis vuelos tempranos, vengo desde Tampico para tomar mi vuelo a Europa y me queda sensacional, el servicio es excelente, buena comida, instalaciones modernas y sobre todo gente entregada a lo que hacen, William siempre me ayuda con mi reservación y me ofrece una habitación hermosa. Gracias a todos por hacer sentir como en casa.   Nos vemos prontito!",1
"Restaurante, tuve la oportunidad de estar en este lugar, buena experiencia en el desayuno Frida es excepcional con una gran actitud y atención al cliente, siempre atenta a mis necesidades, el lugar es muy agradable y el desayuno muy suficiente.",1
El hotel está diseñado para brindar una excelente experiencia al viajero. Tanto las instalaciones como los servicios son muy adecuados para unos momentos de calma y confort. Cada miembro del equipo se esmera por hacerte sentir cómodo ,1
"Una estancia súper agradable, la limpieza de 10, habitaciones muy cómodas. El servicio fue muy bueno, y la gente que me atendió fue amable. Las instalaciones están muy bonitas. Volvería a quedarme ahí.",1
"Ubicación, limpieza, servicio y comodidad es lo que caracteriza a este hotel, me gusto que tengan servicio de plancha en el buffet. Gracias al personal por su servicios. Sin duda muy recomendable para vuelos muy tempraneros, ofrecen de todo para estar cómodos.",1
"Excelente como siempre! Estuve ahí antes de pandemia  y era un buen lugar, pero ahora me parece que tienen mejor actitud, la gente se ve contenta y platicando con los meseros comentan que fue duro estar sin gente, que Águeda que los visitantes regresamos le hacen feliz atendernos. Me gusta este lugar y regresaré siempre. Felicidades a todos por honrar lo que hacen como profesión.",1
Buena opción si tienes vuelos temprano en terminal b de aeropuerto. En menos de 5 min estas en la terminal. El servicio del personal puede mejorar un poco. La limpieza de mi baño estuvo algo por debajo de lo que usualmente hilton ofrece.,1
"Excelente lugar no solo por instalaciones, si no por el trato del personal quien se preocupa por atenderte y cumplir las necesidades de los huéspedes, aunque no tenían transporte porque el chofer descansaba me co siguieron un taxi y me ayudaron en todo. Las habitaciones de buen tálamo y muy cuidadas y limpias",1
"Pasamos una sola noche. El hotel está muy bonito, limpio, la gente muy amable. La habitación muy amplia y cómoda. Descansamos muy bien después de un recorrido por carretera desde cuatro Ciénegas. No usamos el restaurante",1
"Hotel muy bonito y cómoda ubicación, pero lo mejor son los empleados, sobre todo del área de recepción. Resalto la atención esmerada de Gerardo que fue increíble, me ayudo en las solicitudes y siempre con una sonrisa, así como, de Mildred y Cecilia muy amables y dispuestas siempre en apoyar y lo mismo de Erick el botones, Felicidades, sin duda volveré. La única área de oportunidad es el estacionamiento, muy caro, aunque me explicaron que no es de ustedes, deberían de negociar y darnos un descuento",1
"Viajamos en familia y nuestro vuelo llegaba muy tarde, por lo que decidimos hospedarnos aquí por una noche. Pasaron por nosotros en el shuttle del hotel a la terminal y el proceso de recepción fue amable y efectivo. Las habitaciones son modernas y cómodas, ideales para viajes de negocio también. Al día siguiente, por una confusión, llegamos al desayuno 20 minutos después de que cerraban pero aún así nos atendieron de la mejor manera. Lo que más resalto durante nuestra corta estancia fue la amabilidad de su gente y la filosofía de servicio al cliente que tienen. Definitivamente muy recomendable.",1
"Recomendación por la gente que llega de noche caminando al hotel que iluminan sus letras en el edificio ya que la zona es muy oscura. La bienvenida al hotel sin mucha información, pero veloz. El restaurante se cierra a las 22hrs igual que el bar muy temprano pero tienen roomservice nada más tomen en cuenta qué hay 15% de propina automático que se cobra más 16% de IVA.   Lo mejor del hotel son sus habitaciones, limpias y nuevas, cama muy cómoda, televisión con muchos canales, luz excelente. Por vuelos internacionales excelente ubicación, por los nacionales hay que tomar el transporte del hotel. Eñ Chofer nos programó en la llegada por la salida puntual excelente servicio de su parte.",1
"El servicio estuvo de maravilla, las habitaciones muy limpias y cómodas , me encantó, recomendado 100%. El servicio de Gerardo en recepción fue espectacular, siempre atento a la necesidades mías y de mi familia. Cada vez que visite Monterrey llegaré con ustedes. Gracias mil!!!",1
"Es un hotel muy cerca del aeropuerto donde la pase increíble el desayuno muy rico, la limpieza de mi habitación siempre fue muy buena. Estuve en el cóctel de piso ejecutivo donde me recibió la Srita Mirna muy amable. Gracias a todos los empleados del hotel ",1
"Super Chevere el lugar, el personal amable, todo fue una muy buena experiencia, estuvimos dos noches y vimos a la gente atenta a nosotros todo el tiempo en especial una chica a la que siempre nos topábamos y al final resultó ser la gerente del hotel, que gran sorpresa por qué  hasta nos levantó el servicio en el launge. El lugar muy limpio y cuidado. Y lo mejor a unos pasos de la terminal. El servicio de la Transportacion fue muy bueno para ir a otros lugares cercanos como restaurantes. En el launch ofrecen comida y bebida gratis. Si alguna vez tenemos que quedarnos nuevamente sin duda esta será nuestra primera opción.",1
"Nos hospedamos una noche debido a que teníamos un vuelo de madrugada y preferimos dormir ahí , muy buen servicio de check inn , de inmediato nos ayudaron con la maleta y ahí mismo nos agendaron el servicio de shuttle, a la terminal , háganlo con tiempo pues venía lleno y eran las 4 am   Recámara  sanitizada , cama y almohada cómoda , lugar silencioso y tranquilo, cuenta con restaurante con terraza y vendimia de dulces y bitabas directo en recepción   Y lo más importante , la recámara incluye 6 noches de estacionamiento gratuito en el estacionamiento de terminal B , la noche de estacionamiento cuesta 200 pesos al público , por lo tanto mucho del costo de l habitación se recupera con esta cortesía",1
"Muy buena atención de parte de los empleados ., se prestan para ayudarte en cualquier cosa y su amabilidad te hace sentir cómodo, habitaciones muy limpias y sanitizadas , aparte que el hotel está cerca del aeropuerto y te brinda la facilidad de llegar a tiempo a tu vuelo",1
"Gracias Eduardo de Front Desk por tu ayuda con el problema de impresión de documentos para mi viaje, lamentablemente la aerolínea America Airlines nos cerró el vuelo una hora antes y perdí mi vuelo, sin embargo agradezco que hayas sido amable y me hayas ayudado en lo que tu podías hacer.  Gracias",1
"Excelente servicio, en especial a Carolina y Eduardo que siempre estuvieron atentos a lo que pudiera necesitar !!! Medidas de sanidad adecuadas y confiables, sin duda una buena opción para hospedarse.",1
"Excelente servicio la comida, el joven Israel nos atendió en la comida y fue muy atento y servicial en todo momento. La comida estaba muy rica y tenía una presentación muy buena, espero volver pronto.",1
"Felicito al mesero Israel, quien muy amablemente nos brindó servicio en el restaurante siendo atento y servicial. La hamburguesa estaba riquísima. Muchas gracias por la atención. Espero volver pronto.",1
"Excelente servicio la comida 🥘 muy rica y fresca el joven Israel nos atendió en la comida muy amable 😊 todo bien limpio, y el servicio excelente! regresaríamos otra vez, hasta la otra!! - Fam Mora :)",1
Llegue a las 6 am y salí a las 4 a.m y siempre fueron amables y me ayudaron con puertas y maletas ya que vieron mi cansancio por mis escalas. El personal de front desk me ayudó para obtener mi habitación antes de la hora. Fue perfecto y descanse muy bien ,1
Excelente ubicacion con un magnifico servicio y atención. Personal de checking y checkout muy amables y muy buen desayuno. Gran ventaja la cercania al la terminal aeroportuaria y te incluye el estacionamiento,1
Primero que nada quiero felicitar al señor Ignacio por su atención a mi llegada a el hotel me explicó todo muy bien.  Les comento que cada que iba al aeropuerto pagaba  1500 pesos de estacionamiento y ahora mejor pago una noche en este hotel y me dan el estacionamiento gratis seis días así no tengo que levantarme muy temprano para ir al aeropuerto desde Saltillo excelente servicio todos muy amables,1
"Gracias por otorgar un servicio de excelencia! Sus habitaciones son de mi agrado, el ambiente y la ubicación también. El personal que asignan trabajan de una manera profesional y respetuosa. Alimentos frescos y de calidad. ",1
"El Hilton Garden Aeropuerto es una muy buena opción si se tiene llegada tarde, salida temprano o alguna actividad a la redonda del aeropuerto de Monterrey. Su personal y la calidad del hotel es muy buena.",1
"El hotel tiene muy buenas instalaciones y servicio sin embargo el traslado ofrecido al aeri¿opuerto no es a cualquier hora y el mismo horario se reduce en fin de semana. Por lo demás, cumple con las expectativas de la cadena y ubicación.",1
"el hotel tiene una excelente ubicacion a solo 2 minutos caminando de la terminal B, es ideal para los vuelos muy tempranos, sus habitaciones son muy buenas nos toco desayunar y es bufette con gran variar de platos en general un muy buen hotel",1
"Fue muy placentero el alojamiento y exelente personal, el desayuno es muy variado y delicioso, las habitaciones son muy comodas y espaciosas, si regreso sera muy grato volverme a hospedarme con ustedes.",1
"Excelente servicio personal amable y servicial, con la mejor ubicación de la zona y súper conveniente para vuelos muy temprano. Habitaciones súper limpias  y muy comidas. Personal servicial y sonriente ",1
"Muy buena ubicación, las camas est´na muy comodas; la ventaja de poder estacionar tu auto cerca de la Terminal B y tener el estacionamiento sin costo una excelente prestación de este hotel. Compensa muy bien el precio-beneficio.",1
"Excelente ubicación a solo dos minutos caminando de la terminal, limpio y muy cómodo!, buen trato del personal y estacionamiento gratis hasta por 6 días. Muy recomendable para viajeros con familia o de negocios. ",1
"Los viajes en familia, aveces resultan cansados si los hoteles elegidos no ofrecen comodidad, limpieza y facilidades adecuadas. Este hotel es la mejor opción en el aeropuerto de Monterrey. La limpieza en cada detalle, camas cómodas y su cercanía con las terminales de los aeropuertos no pueden ser mejores, sumándole que tienes estacionamiento gratis hasta por cinco o seis días.!!! La mejor opción sin duda. Gracias a todo el staff del hotel por hacer de nuestras vacaciones aún mejores! ",1
"La ubicacion es excelente para cuando llegas muy tarde al aeropuerto o para cuando vas a salir muy temprano y no quieres contratiempos. La relacion precio-calidad no esta tan fuera de lugar, comparado con otros hoteles ubicados en aeropuertos.",1
"Es un hotel para una llegada tarde al aeropuerto de Monterrey, o una salida de vuelo muy temprano muy conveniente. Las habitaciones con muy limpias con una buena cama y buen juego de almohadas. El wifi va muy bien. El baño es pequeñito pero muy recogido y más que suficiente. El hotel es tranquilo, tiene acceso directo a la terminal B mediante una pasarela y esta a 3 minutos andando de la terminal A. La gente de recepción muy amable. Tiene una tienda 24h y room service. Es un excelente hotel de paso. Muy recomendable.",1
"Excelente opción para hospedarse en el aeropuerto, excelente ubicación, buen sabor de la comida, calidad de servicio excepcional, habitaciones muy confortables, limpieza minuciosa, maravillosa atención al cliente.",1
"El hotel fue una selección Genial para hacer un viaje relámpago!!! Llegada muy noche en Domingo, check Inn rapidísimo, descanso corto pero pleno, y la gran comodidad de tener el aeropuerto a un lado para salir el día subsiguiente en vuelo temprano. Es una buena relación de precio, servicio y comodidad ",1
"Habitaciones amplias y muy cómodas, muy limpio todo. Atención en recepción muy amable y atenta. El personal muy simpático. La comida del restaurante muy rica. La gran ventaja sin duda es la ubicación. Recomendado. Buena señal de wifi.",1
"Dentro de mi viaje de negocios venia de otros hoteles y ya cansada del viaje , pero al llegar al hotel Hilton la amabilidad del personal, sus atenciones y servicios te hacen sentir confortable. La verdad es un excelente servicio",1
"Excelente servicio, volvere ahi en mi siguiente viaje. El hotel esta en un excelente sector si vas a trasladarte en los alrededores de Apodaca, las habitaciones muy limpias y comodas, el desayuno muy rico.",1
Excelente servicio y los cuartos de primera.Desde que te dan las galletas y el agua en la llegada es exclente. En cuanto a la limpieza del lobby muy buena y me encantó en futbolito que tienen ahi ya que los niños lo disfrutaron mucho. En el cuarto la televisión muy bien igual que los canales que ofrecen. ,1
"El hotel es muy bueno, tiene muy buena ubicación, me gustó mucho todo el servicio en el restaurante.  La habitación estaba muy limpia y todo el personal muy amable todo el tiempo. Recomiendo ampliamente el hotel, definitivamente volvería. ",1
"Nos hospedamos hace una semanas ya que nuestro vuelo salia muy temprano, todo estuvo muy bien las camas super comodas y el desayuno ni se diga, riquisimo.sin duda sera nuestra opcion al salir y al volver de cada viaje",1
"Muy buen hotel aunque sin acceso directo al aeropuerto. Esto es uno de los principals atractivos de este hotel y realmete no se pudo contar con este acceso. El costo me pareció elevado, considerando que hay otras opciones cercanas, elegí este hotel porque podia accede al aeropuerto pero no pude hacerlo. El area de gimnasio funciona muy bien aunque no está totalmente equipada,",1
"Gran lugar para hospedarse, cerca de la terminal B, buenas habitaciones muy limpias, de buen gusto y confortables.  tarifa decente el hotel vale lo que cuesta, centavo a centavo, recomendable al 100. .",1
"Argo y lo is te urge es un baño  hotel, y gran opción cuando llegas de un viaje y lo que te urge es un baño relajante y descansar, ya que en 3 minutos caminando llegas. Es una gran opción en fin de semana, ya que las tarifas son más accesibles; la cama es amplia y creo que es lo mejor del hotel: Limpia Enorme Cómoda   El servicio es a la altura de sus precios.  Es una buenísima opción! ",1
"Sin duda el mejor del aeropuerto, tengo muchos años de venir a monterrey y por costumbre me habia quedado en otras marcas, siendo fiel a la membrecia que me otorgaron y estaba complacida creyendo que eran los mejores, pero ese hotel cometió un error al recomendarme que por una noche me quedara en el Hilton ya que no tenia reservación y no pudieron hacer nada mas que la recomendación, repito fue un error ahora soy socia de program de lealtad de Hilton y me quedare con ustedes siempre, GENTE AMABLE, HABITACIONES LIMPIAS, COMIDA DECENTE Y SOBRE TODO UBICACION. Así que aquí me tienen de nuevo!",1
"Quiero compartir mi experiencia en Hilton Garden Inn Monterrey Aeropuerto,  es la cuarta ocasión que me hospedo en este Hotel y el servicio siempre es consistente, simplemente excelente.  Siempre procuro conocer los nombres de las personas en los hoteles, tuve el agrado de conocer a la Gerente General y sobretodo quiero agradecer a Claudia de recepción y a su Van Driver, ya que salimos a cenar a un restaurante cercano, al salir de este, solitamos un Uber, el cual nos cancelo en tres ocasiones, al llamar al hotel, Claudia muy amablemente envio la camioneta del hotel por nosotros. Lo cual fue un gran gesto.  Definitivamente son mi hotel favorito en Monterrey",1
"Se merecen un like en especial Dulce del restaurante una chica fresco y con gran sonrisa, muestra un servicio genuino y preocupado por tu servicio, habitaciones  siempre limpias y confortables, la mejor ubicación, bueno el Precio es alto pero vale la pena por lo que recibes",1
"Mejor ubicación imposible para vuelos por Aeroméxico es excelente, no hay que salir del hotel Para llegar a la terminal y además el hotel es muy limpio y las instalaciones excelente, buena comida y personal amable, regresó siempre.",1
"Vuelo muy temprano y con este hotel tan bien ubicado me dio la oportunidad de dormir un.poco más con esta excelente coneccion al aeropuerto, desayuno completo y de buen sabor, personal atento en especial Edgar que fue el mesero de noche me ayudo con mi servicio de cena, eficiente y amable. Sin duda muy recomendable.",1
"Si van a quedarse cerca del  Aeropuerto de Monterrey yo me he quedado en casi todos y les aseguro que este es la mejor opción de todos muy buenas instalaciones y el servicio de primera, les recomiendo mucho usarlo ",1
"Fue la primera vez que elegimos este hotel para descansar mientras esperábamos nuestro vuelo y cumplió muy bien las expectativas de descanso. Buen relación precio-calidad. Lamentablemente fue poco el tiempo que nos quedamos a descansar, pero valió mucho la pena.",1
"Cada que salimos de viaje buscamos quedarnos aquí, buena opción siempre encontramos sonrisas, buen servicio, limpieza y buen trato.  Cómodo para vuelos  tempraneros. Además acumulo mis puntos honors. Me gusta su restaurante.",1
"Lo tomé para ver si daba la talla en cuanto a estancia. Porque en lo referente a ubicación está perfectamente ubicado. Se puede llegar caminando a y desde dos terminales del aeropuerto.  Está en muy buen estado y Presentación. Limpio con habitaciones amplias y con buena luz y aislamiento del ruido exterior. El restaurante tiene muy buena sazón y es bien atendido. El desayuno está incluido y se cuenta con un punto de venta al lado del Lobby con auto servicio que complementa la necesidad. En lo general completamente recomendable. No fue nuestro caso, pero anduvimos cerca, me explico:  aunque el aislamiento para con el ruido exterior es un hecho, si te llega a tocar algún vecino ruidoso, por la razón que sea, las paredes son delgadas (construcciones modernas) y el ruido que de…",1
"me sorprendió que a pesar de estar en el aeropuerto no hubo ruido ni disturbios al contrario todo estaba muy tranquilo y limpio ademas de que uno puede ver los aviones pasar, las chicas de recepcion muy amables y atentas , no tuve oportunidad de usar el bar ni el restaurante pero espero volver.",1
Excellent - Bueno servicio. Muy rico las sugerencias de los platos y bebidas. Bueno conocimento de la carta de comidas y bebidas. Yo estoy muy contento con esta dedicacion de empleado de Hilton Garden Inn.,1
Hola que tal solo quiero expresarme de la experiencia que tuve super bien me encanto Desde el inicio ya que en recepcion la srita Hilda siempre me atendio con una sonrisa y atendio todas mis dudas y me llamo ala habitacion para darme la bienvenida y saber si estaba todo bien en la habditacion me parecio muy buen detalle .. el joven luis tiene un pesimo caracter que no puede guardarlo ... los cuartos me encantan sobre todo las camas!  y el desayuno ni se diga me encanto  la verdad yo vuelvo a hospedarme con ustedes me senti en casa...,1
"Hice una parada en Monterrey en un viaje de negocios y me hospedé en el Hilton Inn. Habitación súper completa y moderna.  Dispone de un servicio de habitaciones 24h aunque no lo empleé. En cuanto al desayuno, bastante variado. Muy recomendable si uno para una noche.",1
"Es una muy Buena opcion cuando vas a salir de viaje muy temprano, las atenciones del personal del Frontdesk fueron muy amenas, la señorita abril fue muy atenta y amable conmigo espero puedan comunicarle mi reconocimiento, en general todo es de muy Buena calidad y los alimentos muy bien preparados, el mesero cruz es muy dedicado a lo que hace. volveria a hospedarme ahi",1
"Quede encantado con el sevicio de todo el personal, desde la calurosa bienvenida y atencion del personal se recepcion, siempre atentos a que no tuviera alguna duda, habitaciones increibles, precios, fabuloso... Recomendados",1
"Excelente las atenciones de todas las áreas, sobre todo de recepción, su recepcionista Hilda muy amable y su Gerente de Recepción Valeria Arguello, muy atenta en todo nuestro hospedaje. Definitivamente vuelvo! La parte de alimentos muy ricos y las habitaciones muy cómodas. Agradecería a la parte de Gerencia General que les dieran un reconocimiento a ambas porque nos hacen sentir como en casa.",1
"Me encantó la eficiencia del personal, desde que ingresé al hotel todos muy amables, la atención del personal del restaurante y la comida de la mejor calidad, uno de los mejores hoteles en los que me hospedado, sigan así! :D",1
"Excelente atención y amabilidad por parte de recepción, la gente de recepción me saco de todas la dudas  que tenia, me oriento y dio toda la atención que necesitaba para que mi estancia fuera perfecta.",1
"excelente servicio y trato personalizado. buena cocina, en el area de restaurante servicio de primera, sobre todo jose quien desde el momento de presentarse se aprecia su profesionalismo y amor al trabajo, que trasmite a los huespedes y nos hace sentir como en casa. felicitaciones para jose. y todo su equipo, la directora y gerente de ventas que son unas grandes anfitrionas. recomiendo esta propiedad muy ampliamente para su viajes, es maginifico ademas que cuenta con tunel que conecta con el aeropuerto no tienes que salir de el llegas directo al hotel, super bien.",1
Nada como estar a unos pasos de la terminal aérea cuando tienes vuelos por la mañana. Habitación cómoda y limpia. Solo le falta un poco de variedad en el servicio a la habitación hay pocas cosas q escoger del menú ,1
Agradezco todas las atenciones de la gerente del hotel por su gran personal los meseros del restaurante y Christian su bar tender  felicitación a Lupita la camarista que con sus notas nos hizo una gran estancia de verdad que Grato hotel nos veremos pronto,1
"Hotel muy cómodo limpio excelente trato y buenas instalaciones, lo único malo es su restaurante comida mala y muy  cara sobretodo los cortes de carne mejor evitar comer ahí. El hotel suele tener buenas ofertas de precio consultar con varios portales para hacer la reserva pues varía mucho el precio de portal a portal",1
"El hotel esta nuevo, y la comida y servicios de amenidades son buenos. E el restaurante bar todos son amabilísimos, especialmente por la tarde noche, Cristhian Peña, nos atendió maravillosamente haciendo recomendaciones del vino y comida. La verdad fue un placer.",1
Formidable Hotel. La marca es garantía. Piso Ejecutivo de maravilla. El desayuno muy completo. Nivel de servicio ***** Ampliamente recomendable. Las instalaciones son nuevas y su cercanía con el aeropuerto lo hacen la opción ideal.,1
"Además de practico está muy cómodo, tal vez unos pesos más alto que la zona hotelera del aeropuerto pero vale cada centavo.   Literalmente está cruzando la calle de la Terminal B, usas el puente peatonal para que no a la calle te asomes.  Las habitaciones están muy bien puestas, como es costumbre de esta cadena hotelera, todo funciona, muy limpio, cómodo, funcional, en verdad se descansa.  El servicio de alimentos bueno, variado, a buen precio.  Definitivamente lo recomiendo para la gente de negocios que necesita llegar a descansar antes de un día de trabajo.",1
"Excelente hotel , ubicacion, servicio . Si deseas una habitación dentro del aeropuerto, definitivamente esta es tu mejor opcion. Incluye estacionamiento gratis por 5 días. Todo muy limpio.  Realmente lo recomiendo.",1
"El Hotel está literalmente a 5 minutos del aeropuerto y puedes accesar caminando por el acceso directo, puedes dormir una noche previa a tu vuelo, tiene restaurante y está cómodo y limpio. Otra cosa tienes acceso al estacionamiento.",1
"Estuve de estadía por una noche,  buen servicio del personal ,habitacion confortable la cama y almohada excelentes. Buen espacio y sobre todo que esta a escasos metros del aeropuerto,  magníficas instalaciones,  creo que es agradable pasar una buena noche. Una vista al aeropuerto y cero ruidos. ",1
Excelente opcion cerca del aeropuerto en especial Terminal B.....realmente caminando llegas al hotel y para salidas muy temprano nada como este hotel.Te brindan transportacion dentro de un perímetro aceptable donde hay plazas comerciales.,1
uparse de llegar a Monterrey y tomar taxi. De esta manera se aprovecha el día productivo en el lugar de origen.Las almohadas son estupendas y no hay ruido. El desayuno posiblemnet requiera de mayor variedad,1
"Buen hotel, limpio, excelente ubicación, camas cómodas, acceso directo al aeropuerto por medio de un túnel o caminando, pero si les urge tener frigobares que enfríen en los cuartos de manera urgente, un hotel de marca Hilton, no se puede permitir la falta de este servicio en las habitaciones, me gustaría que la tarifa incluyera desayuno-buffet",1
"El servicio es magnifico y la ubicación perfecta, adem´+as el personal es amigable, servicial y listo para servir de la mejor manera al huesped an todo momento, estamos todos my satisfechois con Hilton y seguiremos asistiendo con frecuencia a sus instalaciones cada vez que necesitemos hopedaje en este lugar.",1
"Siempre limpio, siempre comido, siempre con gente disponible para ayudarte en todo! Vengo con regularidad y no siempre me quedo aquí por la cercanía y cómodos que te ofrece para vuelos en aerimexico, feliciddes por el gran equipo que son.",1
"Muy cómodas, limpias y agradables los cuartos ¡¡¡   amabilidad de todo el personal, desde la persona que te recoge en el aeropuerto hasta el joven que te sirve el café. La gerente muy sonriente y agradable ¡¡ El buffete del desyuno muy variado y rico.",1
"Excelente para cuando tu vuelo sale muy temprano, es cómodo, la comida es buena, la atención es agradable y el precio me parece accesible valorando el costo beneficio en general para iniciar con un viaje perfecto",1
"Excelente hotel, grandes comodidades y espacio de la habitación con todo lo necesario para una excelente estadía, servicio de Room Service las 24 horas con excelente calidad de los alimentos, la comodidad de estar a solo unos pasos del aeropuerto resultan en un mayor tiempo de descanso por los traslados.",1
"La mejor ubicación cuando tienes vuelos tempraneros, hotel de calidad y buen servicio, con un túnel que te conduce a la terminal sin tener que salir del mismo hotel, comodo y seguro para cuando viajas muy temprano, muy limpio, gente agradable, moderno y con buena comida, recomendable al 100",1
Excelente servicio en general pero más en la recepción  y en el restaurante excelente comida gracias por hacerme sentir como en casa y recibirme siempre con una sonrisa espero volver pronto muy recomendable al 100%,1
"Increíble nuestra estancia disfrute mucho del poco tiempo que pudimos estar aquí por un vuelo mañanero, me impresionó el hotel tan limpio y cuidado, personal sonriente y  entrenado, sin duda vale lo que cuesta ya que no es un hotel barato. Felicidades por el trabajo que realizan",1
